date,rain,maxtp,mintp,cbl,glorad,solargen
1/01/2024,11.93,10.57,3.03,981.9,64.44,471.02
2/01/2024,5.77,10.22,6.53,973.32,125.44,601.8
3/01/2024,2.1,9.21,5.46,981.98,210.22,1286.11
4/01/2024,1.18,8.17,2.52,991.51,309,2788.48
5/01/2024,0.36,8.18,2.28,1001.11,314.89,2966.48
6/01/2024,0.26,7.64,-0.04,1013.68,348,2992.68
7/01/2024,0.08,3.92,-2.1,1022.29,308.89,2828.5
8/01/2024,0.14,4.48,-1.13,1025.83,196.78,1108
9/01/2024,0.58,4.62,0.63,1025.64,238.56,1298.11
10/01/2024,0.02,5.52,-0.06,1027.61,300.44,1560.63
11/01/2024,0,6.73,3.19,1032.03,180.22,1288.67
12/01/2024,0,4.89,1.12,1030.28,86.22,648.3
13/01/2024,0.26,5.84,0.97,1019.76,187.56,1308.28
14/01/2024,0.13,5.71,-0.1,1011.16,299.11,2761.88
15/01/2024,0.09,3.83,-2.07,1007.81,372.22,3599.1
16/01/2024,1.87,5.22,-1.89,998.2,320.33,3144.07
17/01/2024,0.07,2.87,-3.58,991.07,413,4068.08
18/01/2024,0.38,4.18,-4.2,1002.91,445.78,4055.29
19/01/2024,0.37,6.61,-2.63,1008.14,374.22,3401.07
20/01/2024,9.58,10.14,6.06,998.28,119.11,529.56
21/01/2024,15.96,13.06,6.26,982.14,62.33,569.13
22/01/2024,3.18,8.67,4.43,995.47,344.67,2236.17
23/01/2024,10.19,13.42,5.23,1000.74,105,707
24/01/2024,0.74,10.12,6.09,1008.7,263.22,1566.22
25/01/2024,6.59,12.89,6.52,1005.99,189.22,909.75
26/01/2024,1.29,9.14,2.76,1011.18,444.11,4399.89
27/01/2024,0.43,10.54,6.99,1013.1,219.11,1731.25
28/01/2024,1.54,12.57,5.81,1004.34,151.56,527.97
29/01/2024,6.19,6.88,1.09,1014.27,298.67,986.66
30/01/2024,0.03,8.52,-1.09,1020.41,525.11,4752.59
31/01/2024,3.57,11,3.46,1016.26,122.44,997.45
1/02/2024,0.11,10.3,2.51,1023.49,373.56,3731.96
2/02/2024,0.7,12.41,9.04,1018.99,223.44,1521.12
3/02/2024,0.86,11.43,7.94,1018.09,307,2563.35
4/02/2024,0.41,12.87,8.13,1014.96,254.44,519.71
5/02/2024,0.52,11.51,8.98,1006.47,212,712.55
6/02/2024,10.06,11.21,3.24,998.17,209.56,1097.71
7/02/2024,0.63,6.46,1.06,995.61,427.78,4149.08
8/02/2024,19.23,7.08,2.7,978.41,169.67,899.79
9/02/2024,6.52,7.49,4.91,966,281.67,1496.48
10/02/2024,4.29,9.33,3.48,973.31,410.44,3527.61
11/02/2024,1.89,9.18,2.44,984.73,648.78,4936.06
12/02/2024,1.32,8.84,1.27,994.12,640.44,2961.3
13/02/2024,4.94,9.89,2.94,997.08,361.78,1054.07
14/02/2024,6.19,12.5,8.74,995.6,219.78,840.03
15/02/2024,5.33,12.78,7.53,994.82,454.11,1456.77
16/02/2024,1.61,12.22,8.23,1005.24,476,2227.18
17/02/2024,5.89,12.86,8.99,1011.77,200.33,968.88
18/02/2024,1.54,13.26,8.77,1017.58,569,3500.79
19/02/2024,0.5,12.02,7.66,1020.26,600.22,2762.15
20/02/2024,3.11,12.11,6.03,1010.06,468.67,1529.95
21/02/2024,8.1,12.69,6.19,990.66,597.67,2817.64
22/02/2024,4.72,8.22,2.77,976.14,688,4211.94
23/02/2024,3.3,7.5,1.9,977.11,657.33,4155.73
24/02/2024,0.56,9.57,2.06,984.22,731.78,3706.54
25/02/2024,3.02,8.22,3.51,992.29,422.11,2017.84
26/02/2024,0,9.53,1.67,1009.67,1013.44,5776.07
27/02/2024,1.24,10.98,3.4,1010.82,617.22,3273.24
28/02/2024,9.03,11.94,4.64,1002.72,262.56,1427.98
29/02/2024,4.77,8.03,2.01,988.64,787.78,4920.46
1/03/2024,12.94,5.73,0.84,982.07,513.78,2195.82
2/03/2024,1.98,7.26,1.72,988.22,785.56,4293.6
3/03/2024,1.23,9.88,1.54,992.87,892.67,3885.54
4/03/2024,4,8.79,2.59,989.56,426.22,1520.78
5/03/2024,2.73,12.07,4.9,997.52,948.44,5592.06
6/03/2024,0.72,11.13,5.04,1007.26,577.33,3518.07
7/03/2024,0.31,10.52,5.96,1006.8,884.56,3730.43
8/03/2024,0.07,8.19,5.18,997.89,551.56,2458.25
9/03/2024,0.78,7.7,4.92,989.53,230.22,559.26
10/03/2024,1.4,8.37,5.73,992.56,278.33,849.15
11/03/2024,7.3,9.8,6,998.22,489,2305.54
12/03/2024,4.32,12.71,7.66,994.31,489.33,3138.23
13/03/2024,9.98,12.17,7.6,993.67,527.11,1870.68
14/03/2024,13.62,13.12,7.3,989.29,510.44,2484.41
15/03/2024,0.58,12.08,2.86,996.5,1070.22,5974.92
16/03/2024,7.16,12.29,2.34,1003.68,291.89,1534.69
17/03/2024,1.09,13.51,8.2,999.83,938,4441
18/03/2024,3.38,11.97,6.37,996.61,537.22,3374
19/03/2024,3.27,12.54,6.93,1000.6,850.67,5243.77
20/03/2024,2.81,12.22,4.28,1011.43,1221.33,4740.59
21/03/2024,1.98,12.58,4.97,1012.96,431.11,2825.57
22/03/2024,1.98,10.48,3.87,1011.57,1415.56,7793.76
23/03/2024,2.5,9.92,3.52,1008.16,1298,2017
24/03/2024,6.7,9.73,4.83,998.99,655.78,4676.67
25/03/2024,7.73,10.82,6.04,985.78,783.67,3836.33
26/03/2024,6.88,9.06,5.19,975.46,582.67,3432.42
27/03/2024,4.73,8.41,1.74,962.98,1041.44,6171.35
28/03/2024,1.47,10.26,0.94,964.5,1200.67,6947.35
29/03/2024,1.74,12.13,2.33,972.26,1374.44,8192.98
30/03/2024,1.47,12.43,3.58,980.28,1558.44,9212.88
31/03/2024,3.36,13.06,5.9,983.3,1094.22,9457.77
1/04/2024,1.36,10.88,5.94,986.17,920.22,4956.16
2/04/2024,1.71,12.39,2.72,990.19,1166.22,8311.49
3/04/2024,4.4,12.44,6.22,990.36,1085.33,6517.94
4/04/2024,9.33,11.12,6.27,986.36,585.78,4279.88
5/04/2024,6.2,13.99,9.92,982,858.78,5839.34
6/04/2024,2.23,13.93,7.81,975.29,1178.78,5086.5
7/04/2024,2.96,12.7,6.48,986.26,1677.78,5600.35
8/04/2024,12.23,8.9,4.7,993.14,470.67,2758.76
9/04/2024,0.46,12.06,4.88,1003.94,1858.11,7897.11
10/04/2024,8.86,14.18,6.33,1008.04,487.11,2808.28
11/04/2024,4.83,14.77,11.01,1013.98,703,5706.78
12/04/2024,1.53,13.82,10.11,1013.51,650.78,4354.55
13/04/2024,1.01,13.06,5.79,1011.92,1615.89,3587.36
14/04/2024,4.74,11.34,4.1,1007.86,1148,8017.29
15/04/2024,4.76,10.46,4.73,1004.12,1669.33,3710.69
16/04/2024,1.57,12.33,5.43,1012.99,1694.78,11358.33
17/04/2024,1.9,12.23,4.5,1013.69,955.67,5366.18
18/04/2024,0.17,12.98,5.3,1015.68,1055.44,6305.22
19/04/2024,0.57,14.58,4.89,1016.69,1421.78,8864.76
20/04/2024,0,14.92,1.94,1021.53,2260,15103.45
21/04/2024,0.01,16.76,3.24,1024.02,2348.11,15477.69
22/04/2024,0.01,15.21,4.82,1023.38,1633.33,7375.92
23/04/2024,0,14.53,6.12,1019.4,2160.11,13527.63
24/04/2024,0,13.24,3.68,1011.08,1865.89,8361.55
25/04/2024,2.43,11.39,3.87,999.94,1084.22,7012.2
26/04/2024,1.52,10.9,2.44,997.17,1450.78,11534.78
27/04/2024,0.81,11.6,0.83,999.03,1712,10155.11
28/04/2024,2.82,12.72,1.12,998.66,1799,11462.57
29/04/2024,7.16,13.19,7.42,994.4,1452.89,8601.01
30/04/2024,5.88,12.47,6.29,994.16,1268.56,7986.58
1/05/2024,1.18,14.63,5.59,999.94,1983,12961.62
2/05/2024,5.24,14.3,7.23,1000,881.44,7173.18
3/05/2024,0.8,13.54,9.13,1000.27,903.78,5298.61
4/05/2024,0.77,13.51,8.49,1000.57,945.67,4850.95
5/05/2024,0.02,16.29,6.94,999.69,1612.22,13186.45
6/05/2024,0.03,14.06,8.92,1006.58,903.67,4756.01
7/05/2024,0,14.89,7.68,1015.78,1427.22,9044.51
8/05/2024,0.02,16.6,8.51,1018.98,1461.11,10564.95
9/05/2024,0.01,18.9,8.83,1017.43,2042.22,14301.51
10/05/2024,0,21.42,10.67,1013.84,2642.89,15849.92
11/05/2024,0,21.03,9.72,1009.54,2351.44,14079.4
12/05/2024,0.88,18.49,11.19,1001.44,1558.33,12318.8
13/05/2024,11.71,15.34,10.2,991.63,917,3739.5
14/05/2024,5.18,16.41,9.26,989.7,1371.78,9380.74
15/05/2024,0.54,18.13,9.49,994.69,1988.67,9525.15
16/05/2024,3.58,19.86,8.33,999.59,1896.89,11016.49
17/05/2024,1.18,17.27,11.69,1004.04,1284,6825.55
18/05/2024,0.22,16.47,9.97,1009.61,1148.89,7020.47
19/05/2024,0.08,20.89,8.2,1009.69,2696.22,14083.67
20/05/2024,1.66,21.23,9.29,1006.76,2450.56,12927.19
21/05/2024,7.28,17.16,11.28,1003.87,1258.78,9955.49
22/05/2024,1.11,16.28,9.73,1006.28,1240.33,5841.48
23/05/2024,0.01,14.23,8.36,1010.07,1534,8986.23
24/05/2024,0.3,14.09,8.11,1009.92,1310,5665.51
25/05/2024,5.93,15.14,8.86,1004.93,1225.67,7434.7
26/05/2024,8,15.54,9.49,1001.21,1386,6254.48
27/05/2024,1.73,15.54,7.82,1002.4,1763.11,9714.34
28/05/2024,5.64,16.39,11.11,999.24,1233.67,7684.02
29/05/2024,0.83,16.2,10.56,1003.69,1361.67,7364.51
30/05/2024,0.8,15.21,10.09,1011.92,1537.89,6614.85
31/05/2024,0,17.37,7.74,1018.98,2669.56,13416.65
1/06/2024,0,18.49,7.32,1022.67,2683.44,10944.26
2/06/2024,0.03,19.08,7.36,1022.19,2113.22,12039.52
3/06/2024,0.31,17.23,12.02,1014.59,1418.67,7876.94
4/06/2024,1.11,15.79,7.19,1005.28,2090.78,7652.54
5/06/2024,0.64,14.79,6.01,1007.59,2088.56,9721.32
6/06/2024,0.54,14.86,6.29,1009.97,1903.78,10363.34
7/06/2024,0.51,15.97,7.63,1008.94,1690,9018.51
8/06/2024,0.37,16.61,8.58,1008.46,2451.11,5110.46
9/06/2024,3.81,14,8.19,1007.34,1141.11,3313.24
10/06/2024,0.17,16.14,6.61,1010.3,2382.67,10796.93
11/06/2024,0.07,15.13,5.72,1015.4,2000,9585.42
12/06/2024,0.01,16.4,5.44,1010.87,2363.56,11219.81
13/06/2024,12.09,17.32,10.74,996.52,1198.89,5129.65
14/06/2024,3.06,15.52,9.1,988.92,2391.11,12922.74
15/06/2024,3.56,15.82,7.96,990.01,1756.33,10489.03
16/06/2024,0.8,17.46,6.82,995.93,2276.78,14634.2
17/06/2024,0.1,16.42,9.78,1004.52,1338.11,10988.4
18/06/2024,0.04,15.36,8.5,1012.67,1692.78,9320.44
19/06/2024,0,18.18,5.43,1015.6,2892.22,16686.28
20/06/2024,0.09,19.23,8.52,1010.81,1977.44,14265.13
21/06/2024,7.1,16.38,10.44,1002.13,1079.44,7625.69
22/06/2024,0.24,17.59,9.42,1005.46,1368.78,11321.9
23/06/2024,0.04,21.22,11.7,1010.51,2522.67,15144.21
24/06/2024,0.19,21.84,14.61,1009.71,1526.33,10650.14
25/06/2024,0.26,19.04,12.14,1010.57,1260.44,4734.73
26/06/2024,0.24,20.14,9.33,1004.09,1674.44,16316.44
27/06/2024,3.32,14.99,11.44,999.93,1283.33,11058.02
28/06/2024,1.82,16.47,10.92,1005.89,1658,16350.32
29/06/2024,4.54,16.87,9.87,1006.83,1396.78,8532.27
30/06/2024,1.07,17.14,9.19,1010.12,1474.56,13886.66
1/07/2024,1.4,17.36,10.09,1013.43,1194.33,11487.05
2/07/2024,0.2,17.08,9.08,1010.31,1483.11,12535.14
3/07/2024,1.04,17.07,9.62,1000.87,1864.33,16651.36
4/07/2024,1.79,16.06,9.09,1000.8,1746.22,14065.33
5/07/2024,2.24,15.9,8.14,997.37,1743,16385.91
6/07/2024,2.03,16.52,7.74,997.28,2156.11,18593.48
7/07/2024,2.21,16.91,9.13,1001.41,2033.67,16643.9
8/07/2024,0.53,18.47,7.58,1003.83,2061.67,20446.72
9/07/2024,6.77,16.01,11.22,1001.21,864.22,6085.68
10/07/2024,3.67,17.41,11.39,1006.1,1570.56,11013.55
11/07/2024,0.82,17.19,10.83,1013.47,1732.33,14680.41
12/07/2024,0.21,16.8,10.67,1013.46,1166,13311.85
13/07/2024,1.27,19.03,11.72,1008.42,1837.22,15374.48
14/07/2024,1.43,19.33,11.39,1003.71,1491.67,17286.99
15/07/2024,1.33,18.13,10.63,1000.41,1380.56,11191.62
16/07/2024,0.01,19.16,12.49,1005.34,1711.11,13688.49
17/07/2024,2.08,19.17,11.44,1009.32,1349.67,16555.44
18/07/2024,3.22,18.49,12.93,1007.71,1222,6862.57
19/07/2024,2.06,20.26,13.4,1003.72,1530.44,14193.38
20/07/2024,5.48,17.26,10.47,999.51,1272.56,9709.23
21/07/2024,3.8,17.1,10.57,1001.57,1102.56,12548.37
22/07/2024,5.26,19.18,13.31,1004.12,1352.67,14188.32
23/07/2024,0.37,19.33,12.61,1011.18,1685.44,15305.12
24/07/2024,2.74,19.37,13.76,1008.1,959.44,8650.88
25/07/2024,0.9,19.07,11.36,1000.72,1406.44,13945.03
26/07/2024,1.62,18.19,10.14,1001.67,1898.11,20219.64
27/07/2024,2.69,19.87,11.3,1008.2,2050.56,18548.36
28/07/2024,0.01,21.42,9.07,1014.88,2298.67,24840.91
29/07/2024,0.5,20,12,1011.92,1457.56,20388.15
30/07/2024,0.23,20.18,10.63,1012.4,1952.22,22970.93
31/07/2024,0.1,21.51,11.42,1009.16,1901.22,25192.69
1/08/2024,0.11,21.1,13.89,1005.62,1728.89,22003.01
2/08/2024,3.16,19.61,10.78,1001.08,1110.11,12399.55
3/08/2024,0.62,18.01,9.72,1004.04,1475.56,17192.56
4/08/2024,4.81,18.76,13.04,1000.89,642.78,5236.12
5/08/2024,4.28,19.57,11.32,996.51,1096.44,10681.54
6/08/2024,1.36,18.27,10.33,998.08,1708.44,18965.46
7/08/2024,1.53,18.02,12.59,1000.34,1200.33,14585.92
8/08/2024,4.7,18.74,13.4,998.84,704.33,10273.71
9/08/2024,0.7,19.76,12.9,1003.53,1983.22,16071.36
10/08/2024,0.43,20.72,11.81,1009.62,2135,17098.57
11/08/2024,0.96,21.63,10.7,1005.23,1412,17881.15
12/08/2024,3.37,20.06,13.91,996.97,1892.33,19411.22
13/08/2024,2.16,19.21,10.21,999.16,1725.11,16326.41
14/08/2024,0.61,18.63,7.87,1005.12,1522.33,17084.72
15/08/2024,7.11,18.6,10.64,1002.57,1428.67,10432.4
16/08/2024,0.04,17.13,9.73,1007.06,1264.11,13479.12
17/08/2024,0.16,17.16,11.88,1004.61,944.78,10446.36
18/08/2024,0.04,18.61,10.96,1006.28,1563.56,13892.37
19/08/2024,8.99,18.64,11.56,999.6,693.22,6739.83
20/08/2024,1.94,16.5,10.33,1001.67,1813.67,7662.3
21/08/2024,3.63,17.03,10.59,998.11,614.33,3365.65
22/08/2024,12.74,16.5,11.36,988.43,919.78,9994.57
23/08/2024,6.31,17.17,10.24,988.41,1690.78,12629.22
24/08/2024,2.58,16.24,8.9,997.9,1706.11,14583.28
25/08/2024,4.02,15.86,9.81,1003.18,685.67,8290.43
26/08/2024,5.2,17.57,12.56,1003.48,806.44,7885.42
27/08/2024,8.48,19.83,14.18,1000.11,1310.33,9668.19
28/08/2024,3.61,17.92,11.38,1002.96,1466.22,13744.81
29/08/2024,0.21,18.11,9.23,1009.83,1711.56,16380.89
30/08/2024,0.06,18.94,6.7,1015.89,1833,19999.42
31/08/2024,0.06,20.33,7.72,1013.83,1833.67,19581.9
1/09/2024,1.18,18.1,11.63,1006.83,685.44,5163.06
2/09/2024,4.16,16.61,9.36,1004.61,988.33,5704.09
3/09/2024,0.9,16.69,8.84,1008.34,935.44,9687.54
4/09/2024,2.08,15.9,9.21,1013.17,1296.44,13205.44
5/09/2024,0.31,18.08,7.93,1012.28,1241.22,8795.06
6/09/2024,0,23.01,13.61,1006.58,1380.56,11324.12
7/09/2024,0.07,21.78,12.71,1003.4,1234,10546.3
8/09/2024,0.16,16.77,11.19,1003.39,825.22,6804.48
9/09/2024,0.67,16.63,10.22,1006.18,1237.22,15307.19
10/09/2024,2.57,15.1,8.81,1002.03,1112.33,8977.97
11/09/2024,1.52,14.71,7.74,1006.97,1497.44,13772.55
12/09/2024,0.34,14.34,3.86,1014.66,1525.56,17089.61
13/09/2024,0.63,14.92,2.83,1018.81,911.78,11901.95
14/09/2024,2.62,17.13,12.97,1015.74,665.89,3478.52
15/09/2024,2.91,18.06,9.21,1016.96,1116.22,9014.56
16/09/2024,0.02,19.8,8.68,1021.3,1470.89,17670.33
17/09/2024,0.04,21.09,10.81,1023.17,1602.22,15047.95
18/09/2024,0.11,19.31,8.23,1021.57,1579.22,15923.91
19/09/2024,0.09,20.98,8.38,1019.27,1485.89,17138.97
20/09/2024,0.02,18.78,8.79,1016.76,1242.44,10853.19
21/09/2024,1.06,16.68,11.21,1012.86,549.78,6591.02
22/09/2024,0.44,16.2,12.54,1007.22,486.22,3913
23/09/2024,0.17,14.21,10.9,1001.77,397.78,3549.77
24/09/2024,0.22,15.31,6.86,997.76,1043,9395.54
25/09/2024,9.59,12.33,5.33,987.31,537.67,4004.52
26/09/2024,13.22,11.09,7.81,985.58,310,2862.62
27/09/2024,0.94,12.67,6.08,1004.04,1259.11,10830.08
28/09/2024,0.16,13.88,5.5,1014.5,915.22,10821.26
29/09/2024,9.88,13.71,8.87,1001.86,366.78,1728.99
30/09/2024,2.96,14.68,8.91,1000.89,697.78,6118.62
1/10/2024,0.49,15.96,6.81,1008.71,1140.33,11198.16
2/10/2024,0.06,15.74,6.16,1012.2,920.89,8796.32
3/10/2024,0.41,14.99,8.37,1010.7,807.56,11832.31
4/10/2024,2.76,15.46,12.48,1004.56,340.22,2309.9
5/10/2024,12.96,15,11.92,994.79,248.56,1459.26
6/10/2024,3.63,17.13,10.99,985.32,967.89,7673.57
7/10/2024,4.46,16.93,11.06,982.21,792.22,9055.78
8/10/2024,7.03,15.24,10.16,982.23,636.56,7525.73
9/10/2024,0.41,13.82,7.31,990.54,721.44,5471.51
10/10/2024,0.27,11.16,2.02,1002.56,1108.44,14665.77
11/10/2024,0.18,12.19,1.52,1005.84,1038.44,13933.79
12/10/2024,2.14,12.11,2.09,1003.08,874.44,9269.86
13/10/2024,2.68,10.08,2.29,1007.07,315.33,3741.8
14/10/2024,0.08,13.43,4.77,1005.26,710.78,10264.77
15/10/2024,8.97,15.11,8.84,997.34,308.89,4163.2
16/10/2024,4.14,16.49,10.99,989.21,409.44,3742.6
17/10/2024,1.18,15.5,8.46,997.18,762.89,8412.74
18/10/2024,6.74,15.82,8.86,996.89,211.44,1581.78
19/10/2024,0.81,14.59,7.77,996.64,836.67,11583.01
20/10/2024,6.97,14.81,11.08,989.68,567,4004.85
21/10/2024,2.77,14.19,8.46,1005.06,696.89,10484.7
22/10/2024,0.58,14.8,7.58,1015.9,667,7548.89
23/10/2024,0.09,13.92,7.64,1013.23,547.78,7227.51
24/10/2024,6.76,15.73,12.07,1001,304.89,3168.13
25/10/2024,3.37,14.77,9.06,1000.93,382.56,4805.81
26/10/2024,1.7,13.08,4.76,1007.41,388.22,5484.19
27/10/2024,6.99,14.17,3.37,1010.36,168,2473.35
28/10/2024,1.07,14.78,10.59,1011.06,424.33,5119.83
29/10/2024,0.27,12.87,9.52,1017.88,418.44,3809.31
30/10/2024,0.16,12.97,10.63,1020.86,251.78,4174.26
31/10/2024,0.1,12.64,10.5,1018.1,258.67,2176.3
1/11/2024,0.04,12.74,10.6,1018.33,163.78,1819.17
2/11/2024,0.21,11.93,10.31,1021.23,142.56,1430.09
3/11/2024,0.19,12.72,9.9,1018.84,173,1460.71
4/11/2024,0.18,13.04,7.73,1014.96,235.56,2420.6
5/11/2024,0.54,14.5,6.88,1012.01,184.44,1338.31
6/11/2024,0.36,16.78,13.51,1016.09,275.78,2259.41
7/11/2024,0.27,14.66,12.43,1016.12,162.67,1985.95
8/11/2024,0.47,13.14,11.34,1013.91,131.56,1274.7
9/11/2024,0.6,13.26,11.22,1013.27,161.44,1491.74
10/11/2024,1.2,14.37,6.29,1019.81,328.33,2920.05
11/11/2024,0.11,11.34,2.93,1029.68,440.33,6141.95
12/11/2024,0.19,9.14,1.96,1032.62,367,6082.22
13/11/2024,0.34,10.56,3.59,1030.62,310.67,4975.28
14/11/2024,0.31,13.61,9.33,1026.14,202.67,1914.98
15/11/2024,0.99,12.93,10.09,1018.24,232.89,2668.57
16/11/2024,1.03,11.47,6.24,1012.62,285.11,3837.51
17/11/2024,2.88,10.89,5.94,1008.93,243.22,2717.52
18/11/2024,11.06,8.11,4.14,999.54,99.44,1093.06
19/11/2024,3.84,6.21,-0.61,998.04,277.56,2827.01
20/11/2024,1.77,4.63,-1.37,1003.53,372.22,6857.9
21/11/2024,5.56,4.51,-0.8,997.22,288.33,3267.45
22/11/2024,5.38,6,-0.27,998.14,361.89,5807.5
23/11/2024,34.06,14.82,3.71,980.24,145.11,1296.18
24/11/2024,2.88,12.5,7.21,973.72,318.11,2160.19
25/11/2024,1.52,8.47,1.84,989.27,311.89,5348.17
26/11/2024,0.79,8.49,-1.09,1003.46,406.11,6341.08
27/11/2024,0.16,4.48,-1.92,1010.24,347.56,6444
28/11/2024,2.51,12.53,0.06,1011.37,83.11,1179.79
29/11/2024,4.52,13.64,11.74,1005.12,66,678.96
30/11/2024,3.31,14.47,11.64,1002.47,161.67,1425.95
1/12/2024,1.92,12.66,7.66,1000.49,211.67,3205.6
2/12/2024,0.29,8.19,0.18,1009.1,338,4983.61
3/12/2024,1.29,8.64,-0.41,1013.44,207.78,3062.12
4/12/2024,4.7,12.63,3.46,1006.78,70.33,781.58
5/12/2024,6.32,11.98,5.09,998.38,83.11,856.25
6/12/2024,10.62,12.93,3.5,992.8,53.11,587.42
7/12/2024,5.59,9.13,4.51,1001.38,269.33,3598.69
8/12/2024,0.07,7.81,2.59,1027.03,288.11,4875.38
9/12/2024,0.46,6.73,0.43,1033.18,309.89,2904.9
10/12/2024,0,5.48,-0.08,1031.04,195,1886.66
11/12/2024,0,5,2.21,1027.71,99.56,1051.26
12/12/2024,0.06,5.31,3.56,1023.92,77.22,835.57
13/12/2024,0.36,6.4,2.64,1019.51,162,2397.03
14/12/2024,0.77,10.57,2.54,1017.44,173.11,2483.2
15/12/2024,0.79,11.8,9.37,1018.93,157.56,2326.52
16/12/2024,0.38,11.09,7.96,1017.76,130.78,1589.99
17/12/2024,4.83,13.76,8.37,1001.24,38.89,505.9
18/12/2024,5.13,13.29,3.86,991.44,97.67,996.14
19/12/2024,1.42,7.49,2.39,1006.49,304.11,4472.53
20/12/2024,2.54,10.2,3.77,1008.76,211.89,2552.73
21/12/2024,4.28,12,3.86,1002.57,197.44,1460.35
22/12/2024,3.39,7.78,2.9,1009.32,252.44,2838.85
23/12/2024,2.3,12.09,4.19,1017.01,75.11,1059.67
24/12/2024,0.43,12.22,10.13,1016.92,143.33,1381.16
25/12/2024,0.7,11.77,9.47,1020.61,150.89,1466.08
26/12/2024,1.36,10.21,8.21,1023.71,121.67,1721.86
27/12/2024,0.62,10.21,7.9,1022.23,163.89,1475.3
28/12/2024,0.43,9.69,5.93,1020.29,184,2436.63
29/12/2024,0.31,10.53,6.54,1019.37,169.56,2240.13
30/12/2024,0.81,10.91,8.61,1013.07,151,1896.12
31/12/2024,14.67,11.54,7.49,1001.7,57.11,237.75
